dim5,dim10,dim25,
0.0864,0.1103,0.2242,
0.064,0.1321,0.1981,
0.0704,0.1273,0.1871,
0.0812,0.1638,0.2075,
0.1158,0.1129,0.2023,
0.084,0.094,0.1828,
0.0561,0.1146,0.231,
0.1203,0.1506,0.203,
0.0932,0.1571,0.1997,
0.0559,0.1358,0.2057,
