exper_id,average_loss_cov,n,eps,data_dim,mu,mu_out,par_reg1,learn_par,dicay_par,exper_iter,optim_iter,L,init_loc,date,time,std_loss_cov

32 ,1.9181 ,1000 ,0.1 ,10 ,0.0 ,0.5 ,0.005 ,0.005 ,0.5 ,3 ,200 ,1 ,0.0 ,2022-12-04 , 17:28
33 ,1.5872 ,1000 ,0.2 ,10 ,0.0 ,0.5 ,0.005 ,0.005 ,0.5 ,3 ,200 ,1 ,0.0 ,2022-12-04 , 17:40
34 ,2.7682 ,1000 ,0.2 ,10 ,0.0 ,1.0 ,0.005 ,0.005 ,0.5 ,3 ,200 ,1 ,0.0 ,2022-12-04 , 17:41
35 ,222.15 ,1000 ,0.2 ,10 ,0.0 ,6.0 ,0.005 ,0.005 ,0.5 ,3 ,200 ,1 ,0.0 ,2022-12-04 , 17:43
36 ,5.8169 ,1000 ,0.2 ,10 ,0.0 ,6.0 ,0.005 ,0.01 ,0.1 ,3 ,200 ,3 ,0.0 ,2022-12-04 , 17:50
37 ,280.83 ,1000 ,0.2 ,10 ,0.0 ,6.0 ,0.005 ,0.01 ,0.5 ,3 ,200 ,2 ,0.0 ,2022-12-04 , 17:58
38 ,72.087 ,1000 ,0.2 ,10 ,0.0 ,6.0 ,0.005 ,0.001 ,0.1 ,3 ,200 ,1 ,0.0 ,2022-12-04 , 18:04
39 ,7373.2 ,1000 ,0.2 ,10 ,0.0 ,6.0 ,0.005 ,0.001 ,0.1 ,3 ,200 ,2 ,0.0 ,2022-12-04 , 18:07
40 ,2.1494 ,1000 ,0.2 ,10 ,0.0 ,6.0 ,0.005 ,0.001 ,0.1 ,3 ,200 ,3 ,0.0 ,2022-12-04 , 18:11
41 ,71.896 ,1000 ,0.2 ,10 ,0.0 ,6.0 ,0.005 ,0.001 ,0.3 ,3 ,200 ,1 ,0.0 ,2022-12-04 , 18:13
42 ,58.965 ,1000 ,0.2 ,10 ,0.0 ,6.0 ,0.005 ,0.001 ,0.3 ,3 ,200 ,2 ,0.0 ,2022-12-04 , 18:16
43 ,182.46 ,1000 ,0.2 ,10 ,0.0 ,6.0 ,0.005 ,0.001 ,0.3 ,3 ,200 ,3 ,0.0 ,2022-12-04 , 18:20
44 ,56.711 ,1000 ,0.2 ,10 ,0.0 ,6.0 ,0.005 ,0.001 ,0.5 ,3 ,200 ,1 ,0.0 ,2022-12-04 , 18:22
